location	Brooklyn	#E27575
location	New York City	#E37777
location	Farmingdale	#E47979
location	Nassau County	#E67A7A
location	Queens	#E77C7C
location	Manhattan	#E97E7E
location	Bronx	#EA7F7F
location	Suffolk County	#EB8181
location	NEW ROCHELLE	#ED8383
location	Larchmont	#EE8484
location	Bronxville	#EF8686
location	Rye	#F18888
location	Rockland County	#F28989
location	Westchester County	#F48B8B
location	New-York-State	#F58D8D
location	New Hampshire	#F68E8E
location	Vermont	#F89090
location	Indiana	#F99292
location	Illinois	#FA9393
location	Minnesota	#FC9595
location	Ontario	#FD9797
location	British Columbia	#FF9999

update	Update00	#0000B2
update	Update01	#003BB2
update	Update02	#0075B2
update	Update03	#0CB09F
update	Update04	#3CB270
update	Update05	#6EB23E
update	Update06	#9DB20F
update	Update08	#B28600
update	Update09	#B25000
update	Update10	#B21700
update	Update11	#7C0000

